,lat,lon,final
634,36.24429321,-85.54260254,Tennessee
635,35.23269653,-91.70539856,Arkansas
636,41.60620117,-93.63069916,Iowa
637,39.04170227,-94.72019958,Kansas
638,26.1882019,-80.1710968,Florida
639,46.84880066,-92.20320129,Minnesota
640,47.66059875,-122.2919006,Washington
641,26.27589417,-98.23300171,Texas
642,43.07449341,-87.90779877,Wisconsin
643,29.70779419,-95.47370148,Texas
644,29.46220398,-98.48930359,Texas
645,33.74899292,-84.38800049,Georgia
646,39.26730347,-76.7983017,Maryland
647,39.98530579,-75.43669891,Pennsylvania
648,40.83259583,-74.13069916,New Jersey
649,45.52340698,-122.6762009,Oregon
650,33.32009888,-111.8739014,Arizona
651,39.36680603,-76.58799744,Maryland
652,40.70210266,-73.70619965,New York
653,40.76010132,-73.6957016,New York
654,39.95370483,-104.8001022,Colorado
655,36.06170654,-95.94419861,Oklahoma
656,32.73570251,-97.10810089,Texas
657,39.63839722,-104.9057999,Colorado
658,41.03869629,-92.35790253,Iowa
659,40.75059509,-73.82039642,New York
660,35.27630615,-78.54679871,North Carolina
661,30.08309937,-81.86299896,Florida
662,25.938797,-80.21440125,Florida
663,37.59489441,-77.57569885,Virginia
664,36.40400696,-84.07209778,Tennessee
665,26.78179932,-80.07790375,Florida
666,38.2980957,-77.48259735,Virginia
667,41.68159485,-72.94049835,Connecticut
668,32.81199646,-96.81430054,Texas
669,30.38380432,-91.05979919,Louisiana
670,32.77870178,-96.82170105,Texas
671,40.69439697,-73.99060059,New York
672,40.82910156,-73.94909668,New York
673,32.25720215,-111.0809021,Arizona
674,28.57919312,-81.39430237,Florida
675,28.66160583,-81.31199646,Florida
676,41.54589844,-81.61209869,Ohio
677,26.15339661,-80.22489929,Florida
678,20,77,Maharashtra
679,36.16459656,-80.37840271,North Carolina
680,33.07350159,-96.90319824,Texas
681,39.63870239,-75.61949921,Delaware
682,33.97920227,-81.2589035,South Carolina
683,40.10090637,-83.01409912,Ohio
684,29.15220642,-82.19309998,Florida
685,38.40319824,-122.8632965,California
686,36.5532074,-82.72899628,Tennessee
687,33.44839478,-112.0739975,Arizona
688,40.70050049,-73.83450317,New York
689,33.52070618,-86.80249786,Alabama
690,36.14450073,-115.2257004,Nevada
691,28.92349243,-81.91850281,Florida
692,28.6078949,-81.30549622,Florida
693,32.96890259,-96.79910278,Texas
694,33.15600586,-92.00180054,Arkansas
695,32.25410461,-110.8785019,Arizona
696,38.45120239,-90.32779694,Missouri
697,41.30690002,-96.10639954,Nebraska
698,42.54570007,-83.21649933,Michigan
699,37.39610291,-121.9617004,California
700,34.07080078,-118.3762054,California
701,33.74899292,-84.38800049,Georgia
702,26.1829071,-80.22380066,Florida
703,39.75250244,-104.9994965,Colorado
704,29.707901,-95.40100098,Texas
705,35.31869507,-82.46089935,North Carolina
706,30.21870422,-81.7539978,Florida
707,32.83430481,-97.22889709,Texas
708,40.12150574,-75.33989716,Pennsylvania
709,36.3197937,-82.32019806,Tennessee
710,39.89280701,-82.95880127,Ohio
711,33.41889954,-84.71019745,Georgia
712,40.65759277,-111.8840027,Utah
713,43.97479248,-75.91079712,New York
714,30.27929688,-81.58509827,Florida
715,38.85180664,-94.7786026,Kansas
716,33.38580322,-111.8755035,Arizona
717,42.73240662,-71.186203,Massachusetts
718,30.17959595,-81.51820374,Florida
719,33.42280579,-117.6201019,California
720,36.10400391,-86.65989685,Tennessee
721,36.14729309,-86.77700043,Tennessee
722,28.24440002,-82.69329834,Florida
723,35.85719299,-84.0177002,Tennessee
724,33.32009888,-111.8739014,Arizona
725,40.23210144,-74.29859924,New Jersey
726,39.92230225,-75.23339844,Pennsylvania
727,40.75779724,-89.60980225,Illinois
728,42.65339661,-73.80750275,New York
729,32.94819641,-96.72969818,Texas
730,36.3197937,-82.32019806,Tennessee
731,38.66569519,-104.6837997,Colorado
732,32.42500305,-99.79759979,Texas
733,29.5072937,-98.5746994,Texas
734,42.51739502,-92.51689911,Iowa
735,35.29359436,-80.73500061,North Carolina
736,48.19869995,-114.3856964,Montana
737,42.73399353,-87.82109833,Wisconsin
738,26.58839417,-80.20780182,Florida
739,32.83430481,-97.22889709,Texas
740,26.52839661,-81.82949829,Florida
741,41.10389709,-81.53299713,Ohio
742,41.29170227,-96.1710968,Nebraska
743,36.16589355,-86.78440094,Tennessee
744,35.85719299,-84.0177002,Tennessee
745,30.21870422,-81.7539978,Florida
746,40.36090088,-79.90149689,Pennsylvania
747,41.852005,-88.12110138,Illinois
748,40.11250305,-88.24259949,Illinois
749,36.10409546,-90.46620178,Arkansas
750,33.74899292,-84.38800049,Georgia
751,39.63839722,-104.9057999,Colorado
752,39.97839355,-86.11799622,Indiana
753,42.22569275,-73.74289703,New York
754,33.32330322,-111.8244019,Arizona
755,39.24040222,-76.83940125,Maryland
756,45.04690552,-93.4265976,Minnesota
757,35.34559631,-119.0755997,California
758,33.74899292,-84.38800049,Georgia
759,44.79949951,-88.07289886,Wisconsin
760,37.11680603,-93.32129669,Missouri
761,40.73170471,-73.9885025,New York
762,35.76660156,-81.33550262,North Carolina
763,40.73510742,-73.68789673,New York
764,47.67269897,-122.1873016,Washington
765,38.71440125,-121.8529053,California
766,42.4631958,-96.3219986,Iowa
767,39.34300232,-76.68579865,Maryland
768,39.68659973,-105.0899963,Colorado
769,32.25280762,-110.8282013,Arizona
770,39.74719238,-75.59179688,Delaware
771,38.61340332,-90.29070282,Missouri
772,35.13639832,-89.77259827,Tennessee
773,31.54969788,74.34359741,Punjab
774,40.85710144,-74.228302,New Jersey
775,41.52949524,-83.56559753,Ohio
776,39.68690491,-84.16410065,Ohio
777,29.96069336,-95.74089813,Texas
778,30.26229858,-97.74649811,Texas
779,38.68580627,-90.23960114,Missouri
780,40.76989746,-72.99939728,New York
781,28.14790344,-82.03990173,Florida
782,46.73599243,-92.17299652,Minnesota
783,39.18280029,-84.34470367,Ohio
784,33.5756073,-85.13400269,Georgia
785,30.26730347,-95.32180023,Texas
786,38.65539551,-90.4539032,Missouri
787,38.00469971,-84.53340149,Kentucky
788,39.97839355,-86.11799622,Indiana
789,39.95230103,-75.1638031,Pennsylvania
790,33.75270081,-78.90709686,South Carolina
791,29.76489258,-98.18340302,Texas
792,29.5072937,-98.5746994,Texas
793,40.71040344,-74.21109772,New Jersey
794,29.16220093,-81.00749969,Florida
795,30.1578064,-81.63469696,Florida
796,27.38070679,-99.45010376,Texas
797,41.90249634,-87.74009705,Illinois
798,32.90130615,-96.79360199,Texas
799,40.77619934,-73.95480347,New York
800,34.7808075,-92.49890137,Arkansas
801,39.87409973,-74.80899811,New Jersey
802,29.65440369,-95.52269745,Texas
